TIME,GEO,UNIT,PURPOSE,DURATION,PARTNER,Value,Flag and Footnotes
2009,Bulgaria,Number,"Professional, business",4 nights or over,Europe,:,
2009,Bulgaria,Number,"Professional, business",4 nights or over,European Union - 28 countries (2013-2020),:,
2009,Bulgaria,Number,Visits to friends and relatives,1 night or over,Europe,:,
2009,Bulgaria,Number,Visits to friends and relatives,1 night or over,European Union - 28 countries (2013-2020),:,
2009,Bulgaria,Number,Visits to friends and relatives,From 1 to 3 nights,Europe,:,
2009,Bulgaria,Number,Visits to friends and relatives,From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2009,Bulgaria,Number,Visits to friends and relatives,4 nights or over,Europe,:,
2009,Bulgaria,Number,Visits to friends and relatives,4 nights or over,European Union - 28 countries (2013-2020),:,
2009,Czechia,Number,Total,1 night or over,Europe,:,
2009,Czechia,Number,Total,1 night or over,European Union - 28 countries (2013-2020),:,
2009,Czechia,Number,Total,From 1 to 3 nights,Europe,:,
2009,Czechia,Number,Total,From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2009,Czechia,Number,Total,4 nights or over,Europe,:,
2009,Czechia,Number,Total,4 nights or over,European Union - 28 countries (2013-2020),:,
2009,Czechia,Number,Personal reasons,1 night or over,Europe,:,
2009,Czechia,Number,Personal reasons,1 night or over,European Union - 28 countries (2013-2020),:,
2009,Czechia,Number,Personal reasons,From 1 to 3 nights,Europe,:,
2009,Czechia,Number,Personal reasons,From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2009,Czechia,Number,Personal reasons,4 nights or over,Europe,:,
2009,Czechia,Number,Personal reasons,4 nights or over,European Union - 28 countries (2013-2020),:,
2009,Czechia,Number,"Professional, business",1 night or over,Europe,:,
2009,Czechia,Number,"Professional, business",1 night or over,European Union - 28 countries (2013-2020),:,
2009,Czechia,Number,"Professional, business",From 1 to 3 nights,Europe,:,
2009,Czechia,Number,"Professional, business",From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2009,Czechia,Number,"Professional, business",4 nights or over,Europe,:,
2009,Czechia,Number,"Professional, business",4 nights or over,European Union - 28 countries (2013-2020),:,
2009,Czechia,Number,Visits to friends and relatives,1 night or over,Europe,:,
2009,Czechia,Number,Visits to friends and relatives,1 night or over,European Union - 28 countries (2013-2020),:,
2009,Czechia,Number,Visits to friends and relatives,From 1 to 3 nights,Europe,:,
2009,Czechia,Number,Visits to friends and relatives,From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2009,Czechia,Number,Visits to friends and relatives,4 nights or over,Europe,:,
2009,Czechia,Number,Visits to friends and relatives,4 nights or over,European Union - 28 countries (2013-2020),:,
2009,Denmark,Number,Total,1 night or over,Europe,:,
2009,Denmark,Number,Total,1 night or over,European Union - 28 countries (2013-2020),:,
2009,Denmark,Number,Total,From 1 to 3 nights,Europe,:,
2009,Denmark,Number,Total,From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2009,Denmark,Number,Total,4 nights or over,Europe,:,
2009,Denmark,Number,Total,4 nights or over,European Union - 28 countries (2013-2020),:,
2009,Denmark,Number,Personal reasons,1 night or over,Europe,:,
2009,Denmark,Number,Personal reasons,1 night or over,European Union - 28 countries (2013-2020),:,
2009,Denmark,Number,Personal reasons,From 1 to 3 nights,Europe,:,
2009,Denmark,Number,Personal reasons,From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2009,Denmark,Number,Personal reasons,4 nights or over,Europe,:,
